Date,Issuer,Symbol, Managers,OfferP,OpeningP,FirstDayClose,ScoopStars,txtfile
3/10/2010,Baltic Trading Limited ,BALT,Morgan Stanley/Dahlman Rose,$14.00 ,$14.00 ,$13.96 ,1,0001047469-10-002024.txt
4/22/2010,Global Geophysical Services ,GGS,Credit Suisse/Barclays Capital,$12.26 ,$12.00 ,$12.00 ,1,0001047469-10-004082.txt
4/22/2010,DynaVox ,DVOX,Piper Jaffray/Jefferies,$15.00 ,$15.00 ,$15.00 ,3,0001047469-10-004127.txt
4/29/2010,Convio ,CNVO,Thomas Weisel Partners/ Piper Jaffray,$9.00 ,$10.00 ,$10.24 ,1,0001047469-10-004411.txt
5/5/2010,Douglas Dynamics ,PLOW,Credit Suisse/ Oppenheimer,$11.25 ,$22.26 ,$11.29 ,1,0001047469-10-004849.txt
5/12/2010,Niska Gas Storage ,NKA,Goldman Sachs/Morgan Stanley,$20.50 ,$19.50 ,$19.10 ,2,0001047469-10-005192.txt
10/24/2006,Eagle Rock Energy L.P. ,EROC,UBS Investment Bank/Lehman Brothers/Goldman Sachs,$19.00 ,$18.00 ,$18.00 ,2,0001047469-10-005625.txt
6/15/2010,CBOE Holdings ,CBOE,Goldman Sachs,$29.00 ,$32.80 ,$32.49 ,3,0001047469-10-005926.txt
7/16/2010,RealD ,RLD,J.P. Morgan/Piper Jaffrey,$16.00 ,$19.55 ,$19.51 ,3,0001047469-10-006506.txt
9/30/2010,Rhino Resources Partners ,RNO,Raymond James,$20.50 ,$20.50 ,$21.10 ,1,0001047469-10-008371.txt
10/15/2010,Body Central ,BODY,Piper Jaffray/ Jefferies & Company,$13.00 ,$14.49 ,$13.00 ,2,0001047469-10-008643.txt
10/19/2010,NetSpend Holdings ,NTSP,"Goldman, Sachs/ BofA Merrill Lynch/ William Blair",$11.00 ,$13.00 ,$13.00 ,2,0001047469-10-008704.txt
10/28/2010,SeaCube Container Leasing ,BOX,J.P. Morgan/ Citi/ Deutsche Bank Securities/ Wells Fargo Securities,$10.00 ,$11.00 ,$11.00 ,1,0001047469-10-008955.txt
